Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Anchor Bay Charters - Seeker,CV19JY346,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Anchor Bay Charters,49
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Celebrations,CV19JY367,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,60
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Champagne Lady,CV19JY368,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,75
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Lady Mary,CV19JY369,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,175
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Salish Explorer,CV19JY370,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,350
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Sightseer,CV19JY371,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Argosy Cruises,60
04/22/2019 12:00:00 AM,Complete,Charter Vessel,,,Emerald City Pirates,CV19JY315,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Emerald City Pirates,51
06/17/2019 12:00:00 AM,Complete,Charter Vessel,,,Lake Union Charters & Adventures - Lavengro,CV19JY362,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Lake Union Charters & Adventures,22
06/17/2019 12:00:00 AM,Complete,Charter Vessel,,,Seattle Ferry Service - Fremont Avenue,CV19JY363,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,"Seattle Ferry Services, LLC",32
06/20/2019 12:00:00 AM,Complete,Charter Vessel,,,Sound San Juan Services - Trek,CV19JY366,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Sound San Juan Services,100
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Sternwheeler Charters - Christine W,CV19JY347,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Sternwheeler Charters LLC,49
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Waterway Cruises & Events - Destiny,CV19JY348,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Waterways Cruises & Events,46
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Waterway Cruises & Events - Emerald Star,CV19JY349,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Waterways Cruises & Events,232
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Waterway Cruises & Events - Olympic Star,CV19JY350,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Waterways Cruises & Events,156
06/13/2019 12:00:00 AM,Complete,Charter Vessel,,,Waterway Cruises & Events - West Star,CV19JY351,07/04/2019 12:00:00 AM,07/04/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Waterways Cruises & Events,130
06/19/2019 12:00:00 AM,Cancelled,Special Event,Commercial,,The 5 Point Café 90th Anniversary,S19JY374,07/02/2019 12:00:00 AM,07/02/2019 12:00:00 AM,Tilikum Place Park,Belltown,7,West,The 5 Point Café,110
02/01/2019 12:00:00 AM,Complete,Special Event,Mixed Free Speech,,Seattle Pride Parade,S19JU146,06/30/2019 12:00:00 AM,06/30/2019 12:00:00 AM,,"Belltown, Downtown, Queen Anne",7,West,Seattle Pride,257700
05/10/2019 12:00:00 AM,Cancelled,Special Event,Community,,Pride Party in Tilikum Park,S19JU311,06/30/2019 12:00:00 AM,06/30/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,"Wide Open, Inc",212
02/07/2019 12:00:00 AM,Complete,Special Event,Community,,Somali Independence Heritage Festival,S19JU147,06/30/2019 12:00:00 AM,06/30/2019 12:00:00 AM,,Rainier Beach,2,South,Somali Community Services of Seattle,1500
02/20/2019 12:00:00 AM,Complete,Special Event,Commercial,,PRIDE: Woodlands T-Dance w/ Lucas Flamefly,S19JU168,06/30/2019 12:00:00 AM,06/30/2019 12:00:00 AM,,Capitol Hill,3,East,Craft Brew Alliance,960
05/31/2019 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Country Hustle 5K,S19JU333,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,"Pro-Motion Events, Inc.",290
06/04/2019 12:00:00 AM,Complete,Special Event,Free Speech,,Capitol Hill Pride March,S19JU335,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,Capitol Hill,3,East,Capitol Hill Pride,262
